Seite;Nr.;Datum;User;;Sterne;Überschrift;Bewertung (Worte)
;362;10. Jun 14;"Heimwerkerking ""Heimwerkerking""";;4;cool- und crisperbox unwesentlich kühler als der eigentliche Innenraum des Geräts ansonsten sehr zufrieden;"Wie immer eine Kurzrezession.
Das Gerät hatte ich schon immer in der näheren Auswahl. Liebherr wäre mir lieber gewesen, ist aber deutlich teurer. Auch hätte ich gerne ein echtes 0° Fach. Unter 1000 EUR aber reine Utopie.
So erschien mir der Siemens bzw. Bosch ein angemessener Kompromiss zu sein, ein teurer Kompromiss allerdings. Kaum unter 700 EUR zu bekommen - bei Euronics gab es ihn dann für 599 EUR mit einem Kasten Bier. Der Bierkasten hat mich also am Ende tatsächlich überzeugt. :D

Über das Gerät, die Fächer, die Kühlfunktion wurde schon jede Menge geschrieben. Wie immer gut gemischt von sachlich richtig bis kompletter nonsens. Das dürft Ihr aber selbst ausfiltern.
Worauf ich aber eingehen möchte sind folgende Punkte:

Geräuschpegel:
Wenn er an ist, höre ich das Gerät in der gesamten Küche, wenn keine anderen Geräuschquellen vorhanden sind.Sobald irgendwas zusätlich läuft, höre ich den Kühlschrank schon nicht mehr. Sogar das zirpen der Grillen bei geöffnetem Fenster übertönen die Geräusche des Geräts. Diese sind tatsächlich, verglichen mit alten Geräten, merkwürdig und gewöhnungsbedürftig. Vielleicht hört man deswegen genauer hin.
Unsere Küche ist zum Wohnzimmer offen. Während man den alten deutlich brummen hören konnte beim Fernsehen, ist von dem Neuen nichts mehr zu hören, auch wenn die Glotze aus ist.

Cool- und Crisperbox.
Werbenapp! Achtung. Mit einer 0° Zone hat das so viel zu tun, wie Eiscreme und Vanillepudding.
Die Cool-Box, die 2° unter dem großen Kühlraum liegen soll hat genau die gleiche temperatur wie der Rest vom Kühlschrank. Es ist überall genau gleich. ich habe auf 3° eingestellt und das ganze Gerät hat 4° (gemessen)
Auch die Crisperbox weist das selbe leere Versprechen auf. Selbe Temperatur wie der Rest. Aber - wie auch immer BSH es geschafft hat, die Luftfeuchtigkeit in der Box ist höher.
Gut sind die Boxen insofern, dass sie wirklich groß sind. Wir machen zum Frühstück immer Smoothies, weswegen wir stets frisches und reifes Obst im Haus haben. Dies hält sich länger und Fruchtfliegen bleiben wo sie hingehören... nicht bei uns! :D
Auch die Größe des Fleisch und Fischfaches (Cool Box) ist toll. Wurst, Fleisch, und Fisch befinden sich in dieser Schublade. Mühseliges Fummeln im dunkelsten Fach des Kühlschranks ist damit passe.

LED Beleuchtung.... Warum liebe Entwickler von BSH habt ihr euch für so ein ätzendes blaues Licht entschieden?
Helligkeit und Position der Beleuchtung ist super. Aber es ist wirklich derart unnatürlich kühl blau, dass es die Farben der Lebensmittel komplett verfälscht... manches Obst hatte ich schon in der Hand, um es weg zu werfen und kurz vorher noch im normalen Tageslicht die Täuschung erkannt.

Noch ein Satz zum Thema A+++ und ""grünem Kältemittel.

Wir haben unseren uralten Liebherr in die ewigen Jagdgründe geschickt, aus hygienischen Gründen, die Dichtungen waren nicht mehr zu reinigen. Das Gerät wurde so alt, dass er noch mit FCKW lief. Wir schätzen etwa 30 Jahre. Solange das System dicht ist, wäre es Umweltverschmutzung gewesen, das Gerät zu entsorgen (m,eine Meinung) Davon abgesehen, war das alte FCKW einfach viel effizienter, was die neuen Kältemittel nicht sind (überdies auch nicht ungefährlicher für die Umwelt) Der Kühlschrank verfügte über recht dünne Wände und hatte daher einen Innenraum von 202 L und der Eisschrank darunter sogar 180 L Stauraum.
Der gemessene Gesamtjahresverbrauch lag bei 220 kWh...
Der neue ist innen etwas und aussen viel größer, braucht aber nicht so viel weniger Energie als der Alte, bei annähernd genauso bescheidenen Folgen für die Umwelt, wenn das Kältemittel entweicht, wie beim FCKW.
--> Hier wurden wir Verbraucher Ende der 80er, Anfang der 90er mal so richtig übel in den A... tschuldigung ... auf den Arm genommen.

Fazit zum Gerät:
+ schön groß
+ wertige, durchdachte Aufteilung
+ geringe Lautstärke (nicht geräuschfrei)
+ Rollen für leichteren Aufbau
- blaues LED (hässlich)
- Crisper und Cool box hält nicht wirklich was sie verspricht
- viele merkwürdige (aber leise) Geräusche

Tipp für alle ungeduldigen: lasst ein Kühlgerät erst stehen vor dem Einschalten!!!"
;363;12. Jun 14;FranziGr;;4;Preis und Energieverbrauch TOP;Ich bereue den Kauf dieses Kühlschrankes nicht. ! das Obst hält bei uns sehr lange in der freshbox. wenn man den Kühlschrank zu lange offen stehen lässt, schreit er, - find ich auch gut. Leider macht er es beim Gefrierfach nicht. Mir ist leider passiert, dass ich es einmal nicht ganz geschlossen habe.. und mir viel angetaut ist. :-( Aber ich muss sagen, das wir in jetzt 4 Monate haben und er in keinster weise vereist ist. Lautstärke ist OK, er könnte leiser sein. Man hört ihn schon ab und zu.. Er steht bei uns in der Wohnküche. Lieferung ging super schnell. Ich glaube Siemens ist keine schlechte Marke. Ich hoffe in ein paar Jahre immer noch begeistert zu sein :-)
;364;12. Jun 14;Mercy;;2;Nach einem Jahr Betrieb …..;".... habe ich doch Zweifel an meiner Entscheidung für diese Kühlgefrierkombination. Nicht nur, dass sich im Kühlteil unten Wasser sammelt und somit das Gemüse nass wird, öffnet sich die Türe vom Gefrierteil immer unmerklich einen Spalt nachdem sie geschlossen wurde. Vor allem wenn man die Türe mit zu viel Schwung schießt öffnet das Vakuum die Türe wieder und es beginn zu vereisen! Genau das passierte mir des öfteren und ich durfte den Gefrierteil einige male schon abtauen weil er dermaßen stark vereist war. Klar versuche ich jetzt immer daran zu denken die Türe im Grunde 2X zu schließen, damit sie wirklich zu ist, jedoch es passiert mir immer noch, wen ich es eilig habe oder eben daran vergesse.
Die Siemens Serviceabteilung habe ich deshalb angerufen. Es wäre ganz einfach - ein stärkeres Gummi-Magnet in die Türe rein und alles zieht sich wie es gehört zu. Leider gibt es das als Ersatzteil bei Siemens nicht.
Als letztes - die Geräusche sind wirklich nicht gerade leise und der Eiskasten gurgelt lustig vor sich hin ............
Ich hätte mir mehr von Siemens erwartet!!!!!!"
;365;14. Jun 14;carl scheinig;;4;Siemens KG39EAI40 Kühlgefrierkombination;"Bei mir war ein Wechsel des Anschlages erforderlich, der mit dem passenden Werkzeug relativ leicht zu vollziehen war. Lediglich die Griffschrauben erforderten ein wenig Vorarbeit mit einem Gewindebohrer, sie ließen sich sonst nicht einschrauben. Es ist aber sicher nicht jedermanns Sache das Teil auf den Rücken zu legen mit einem Abstandshalter an der Kopfseite, um die Teile auf der Rückseite nicht zu beschädigen. Es empfiehlt sich, beide Türen zu lösen, um das Scharnierblech in der Mitte zu drehen.
Die Geräusche des Aggregats und des Lüfters sind sicher nichts für sehr empfindliche Ohren, sind aber beim Radio- oder Fernsehempfang nicht auffällig (Wohnküche). Man hört sie nur im völlig ruhigen Raum. Weiterhin muß man sich daran gewöhnen, das die Türen nur mit etwas Kraftaufwand zu öffnen sind. Die Fingerprintbeschichtung ist bei der glatten Oberfläche unerläßlich, wie lange sie wirksam ist bleibt abzuwarten. Schön wäre es bei der Bestellung gleich die richtige Anschlagseite ordern zu können, ohne Aufpreis und Vorortmontage."
;366;17. Jun 14;rdauso;;5;Tolle Kombination, leise,;"gute Fächerkombinationen, getrennte Einstellung möglich, es sammelt sich im Kühlschrank unten gerne Wasser, das eben immer wieder kontrolliert werden muss. Jetzt im Sommer vereist die Gefriertruhe gerne, durch platzierte Töpfe mit heißem Wasser ist die Enteisung innerhalb 1 Stunde möglich.
Gibt es praktisch identisch von vielen anderen ""Herstellern""
"
;367;23. Jun 14;Jens Wielobinski;;5;Toller Kühlschrank!;"Ein wirklich guter Kauf. Sieht optisch super edel aus und funktionell absolute Spitze. Ist eben Made in Germany - Original Siemens.

Dazu der Super Lieferdienst durch Hermes. Wir würden uns einen Kühlschrank über AMAZON immer wieder kaufen
"
;368;24. Jun 14;Daniela Pfeffer;;5;geniale Einteilung;Wir haben diese Kühl-Gefrierkombination nun schon eine Weile im Gebrauch und ich würde sie sofort wieder kaufen. Geniale Einteilung und das Bio-Fresh-Fach beeindruckt mich immer wieder. Es ist sehr geräumig und auch für größere Salate oder auch mal ne Wassermelone geeignet, außerdem ist es innerhalb nochmal unterteilt, so daß man Obst und Gemüse gut trennen kann. Selbst Blattsalate, bleiben mehrere Tage frisch und knackig. Das Gerät ist leise jedoch wenn das Aggregat (ich bin kein Fachmann, denke aber daß es das ist) zum kühlen aufdreht wird es etwas lauter, dauert aber nur Minuten. Alles in Allem sind wir mit dieser Kombination hoch zufrieden und haben Sie inzwischen schon mehrfach weiterempfohlen. Zur Lieferung möchte ich noch sagen, daß auch das sehr gut geklappt hat, die Spedition hat das Gerät bis an den Aufstellort gebracht und auch die alte Verpackung gleich mitgenommen.
;369;07. Jul 14;Florian;;5;Top Preis-/Leistungsverhältnis für einen tollen Kühlschrank!;" - Lieferung:
Die Lieferung erfolgte pünktlich und durch relativ freundliche Mitarbeiter, bei der Bestellung sollte man aber die Verpackungsmaße beachten, der Kühlschrank passt sicherlich nicht durch jeden Hausflur. Leider haben die Mitarbeiter die Verpackung (auch nicht auf Wunsch) nicht wieder mitgenommen, sodass auch nicht wirklich nachprüfbar war, ob der Inhalt unbeschädigt ist. Das sollte bei der Lieferung beachtet werden.
- Verarbeitung:
Das Gerät ist sehr gut von innen und außen verarbeitet, die Oberflächen fühlen sich wertig an, es klappert und ruckelt nichts. Die Geräuschentwicklung ist aus meiner subjektiven Sicht völlig in Ordnung, bisherige Bemerkungen über zu laute Geräusche kann ich nicht nachvollziehen. Die Anti-Fingerprint-Beschichtung ist naturgemäß eher eine Marketingstrategie als tatsächliche Reinigungshilfe.
- Preis-/ Leistung.
Wir haben lange überlegt, ob wir uns tatsächlich einen solchen ""riesigen"" Kühlschrank für einen 2-Personen-Haushalt zulegen wollen. Letztendlich bereuen wir es nicht, der Stauraum ist wirklich sehr praktisch und man gewöhnt sich beim Einkaufen schnell an die ""neue Größe"" des Kühlschranks. Uns war die Energieeffizienz sehr wichtig, die bei diesem Gerät derzeit natürlich unschlagbar ist.
Fazit: Nach ca. 4 Wochen Einsatz sind wir absolut zufrieden, klare Kaufempfehlung!"
;370;14. Jul 14;Kang;;2;das Fiepen….;"Brummen, glubbern, kracksen, zieschen.... das alles hätte mich nicht einmal gestört, egal wie laut es wäre. Aber das extrem hohe Fiepen wie bei einer Spule treibt einem buchstäblich in den Wahnsinn. Jedes Mal wenn man die Tür aufmacht und der Kühlschrank sich aufs Neue herunterkühlen muss, geht das Fiepen los. und das nicht durchgehend sondern in einem unregelmäßigen rythmus. Vielleicht ist das Musik in den Ohren der Siemens Ingenieuren aber mich macht das total fertig.

Das Fiepen ist sogar beim lauten Fernsehen trotzdem zu hören, und ist durch nichts anderes zu übertönen. Für Wohnküche ABSOLUT ungeeignet! Anfangs dachte ich, dass es wegen Erstinbetriebnahme und dass es sich mit der Zeit wieder legt, mittlerweile sind es schon zwei Wochen und das Fiepen geht weiter.

Ich werde mich mit Siemens in Verbindung setzen und wenn sich das Problem nicht löst, werde ich es zurückschicken.

Und da werde ich wohl sogar froh sein, dass ich zwei Wochen ohne Kühlschrank leben muss!"
;371;18. Jul 14;Michael;;1;ungeeignet für Wohnküchen (unabhängig von der Raumgröße);"Die Kühlgefrierkombination verursacht einen sehr hohen Pfeifton beim Kühlen. Dier Pfeifton ist asymmetrische und äußerst unangenehm. Des Weiteren sind die Nebengeräusche des Kühlschrankes mit einem Geschirrspüler zu vergleichen. Wir haben das Gerät aufgrund der guten Bewertung durch die Stiftung Warentest gekauft. Leider ist die Geräuschentwicklung nicht akzeptabel und für eine Wohnküche sehr ungeeignet.
Sonst erfüllt die Kühlgefrierkombination alle Aspekte, wie beworben."
;372;22. Jul 14;Rob;;5;Top;"Super Gefrierkombination mit unserem Samsung 10 Jahre gehalten kein vergleich.
Super Aufteilung sehr leise und kühlt super schnell.
Würde ich sofort wieder kaufen.
"
;373;25. Jul 14;Rick Leidel;;5;Toller und lautloser Kühlschrank;"Hab mir den Kühlschrank vor ca. 2 Wochen liefern lassen und muss sagen das er nach 3 Tagen der Bestellung schon bei mir zu hause war. Also Top.

Verstehe aber nicht wie sich die Leute über den Kühlschrank wegen der Lautstärke oder des brummens beschweren können. Habe Küche und Wohnzimmer in einem Raum und höre nicht ein einziges Geräusch vom Kühlschrank auch wenn der Fernseher aus ist. Kein Gluckern oder Summen nicht bei Tag und auch nicht bei Nacht.

Würde mir diesen Kühlschrank auf jeden Fall wieder kaufen aber das muss ich ja nicht mehr :D

Nur zu empfehlen ??"
;374;04. Aug 14;Bernd;;5;tolles Gerät, schacher Lieferservice;"Unsere alten Stromfresser haben ausgedient. Hier bei Amazon ausführlich recherchiert, viele Berichte gelesen und dann auch mal im Handel angeschaut. Hätten auch vor Ort gekauft,allerdings war der Verkäufer wenig motiviert und hatte wohl schon genug Umsatz gemacht.
Das Gerät ist ein echter Blickfang, super verarbeitet, sehr praktische Aufteilung. Die Berichte zur "" Lautstärke"" haben mich schon verunsichert, bin nun aber froh das wir uns davon nicht haben abhalten lassen.
Das gute Teil steht nun seit einigen Tagen im Haus. Küche und Esszimmer sind offen und man hört fast nichts. Nun schauen wir auch mit 2 Personen nicht ständig in den Kühlschrank, so läuft er sehr selten an.
Nach unserem Empfinden ein sehr leises Gerät, wir sind begeistert.
Vielleicht hatten diesbezüglich andere Kunden ein Montagsgerät.
Von uns volle Punktzahl. Dies gilt leider nicht für die Lieferung. Details spare ich mir sonst muss ich mich wieder aufregen. Nur soviel: unpünktlich, unfreundlich.
"
;375;05. Aug 14;Vasi77;;5;vasi77;Artikel wie beschrieben und an den Wunschort aufgestellt. Das gluggernde Geräusch wie in anderen Rezensionen beschrieben, kann ich bestätigen ist aber nicht störend da er in der Küche steht. Ansonsten gerne wieder. Danke
;376;07. Aug 14;Burkhard Rosemann;;5;erster Eindruck sehr gut;"Der Kühlschrank wurde perfekt geliefert und aufgestellt. Er sieht top aus und bietet alles, was man von einem Gerät in dieser Preisklasse erwartet. Nach den ersten Tagen läuft der Kühlschrank sehr gut, obwohl der erste Tag noch etwas laut war, das legt sich aber.
"
;377;14. Aug 14;"Tom ""t wimmer""";;4;Nach einem Jahr Betrieb großteils zufrieden…;"Obwohl manche Rezensenten anderes behaupten, empfinde ich den Kühlschrank, der in der Wohnküche steht als leise (möglicherweise hängt die Geräuschentwicklung auch von der eingestellten Temperatur ab, die ich nicht zu tief eingestellt habe +6° Kühlschrank und -16° für den Gefrierteil). Lediglich nachdem man die Tür geschlossen hat, springt kurz ein Lüfter an (für wenige Sekunden), blubbernde Kühlgeräusche kann man vielleicht ganz leise in der Nähe des Geräts hören, keinesfalls jedoch in Raumlautstärke.
Die Feuchtigkeit im Gemüsefach lässt sich regulieren, jedenfalls ist zu beobachten, dass Gemüse im Gemüsefach auf jeden Fall länger hält als in den anderen Zonen, allerdings könnte das Gemüsefach größer sein.
Ein einziges Mal hatte ich ein unerklärliches Problem mit einem Temperaturabfall im Tiefkühlteil wodurch wiederholt der Alarm ausgelöst wurde, möglicherweise durch das Einkühlen einer zu grossen Menge an Eiswürfeln bedingt oder durch Vereisung? Das Problem löste sich aber von selbst, und der Alarm lässt sich auch löschen.
Das Tiefkühlfach vereist mäßig an den Türen (eher äußerlich), ein Abtauen wurde bis dato aber noch nicht notwendig.
Der Formfaktor und das Design des Geräts sind ansprechend. Der Innenraum ist recht praktisch unterteilt. Einziger Nachteil hier zuwenig Stellfläche für höhere Flaschen und recht geringe Breite des dafür vorgesehenen Raums in der Tür. Deshalb müssen manche Flaschen, vor allem breitere, im Kühlschrank liegen."
;378;14. Aug 14;Sebastian Ehlert;;5;sebastian;Super zufrieden, der Kühlschrank war innerhalb von einer Woche ausgepackt bei mir in der Küche (2. Stock). Sehr edles durchdachtes Gerät. Würde den Kühlschrank immer wieder hier bestellen!
;379;14. Aug 14;"A. Frank ""Killerspieler""";;3;Ist OK, aber mit Schwächen;"Tja.... ein neuer Kühlschrank für die neue Küche musste her. Diesmal wollte ich unbedingt einen freistehenden, damit man ihn beim Umzug problemlos mitnehmen kann. Nach vielen Vergleichen fiel meine Wahl auf ihn hier.... auch aufgrund der Rezensionen. Prinzipiell ist alles auch so, wie ich vorher gelesen habe:
* Optik ist ganz gut - Seitenteile eben Kunststoff. Beleuchtung ist ""nur"" eine LED von oben (wirft ggf. Schatten, wenn man große Teile eingestellt hat), aber ich habe damit keine Probleme.
* Einstellung der Kühltemperatur funktionert ok - ich finde gut, dass das versteckt ist.
* Gute Aufteilung im Innenraum.
* Low Frost im Gefrierteil - nach ca. 6 Monaten gibt es nun schon eine leichte Eiskruste. Also - ab und zu muss man mal Abtauen. Aber etwas Zeit hat es noch.
* Gross, geräumig - aber die Isolierung ist im Vergleich zu den Samsung MaxSpace (oder wie das heißt) deutlich dicker. Es geht also theoretisch noch besser.

Was mir nicht gefällt:
* Erstaunlich laut - blubbern, quietschen, brummen. Und das nicht so wirklich leise. Siemens hat da extra ein Zettel beigelegt, dass das ""normal"" ist. Meiner Meinung nach aber ein Mangel - der eben mit dem Zettel ausgeglichen werden soll. Der Kompressor läuft recht oft, daher sollten Lärmempfindliche den Kauf genau überlegen.
* Tür offen Alarm spricht am Gefrierabteil sehr schwach an. Einmal war der Wasserablauf des Gefrierteils aus Versehen heruntergeklappt - dann schließt die Tür nicht richtig, ohne dass man es merkt. Leider aber gut genug, um eben keinen Alarm auszulösen. Erst als wirklich schon einiges aufgetaut war, ging der Temperaturalarm schließlich an. Das ist sehr schwach....

* und vergessen: in der Tat kann ich es bestätigen, dass sich unter dem Gemüsefach mit der Zeit Wasser sammelt. Man muss dort also ab und zu mal trocken wischen.

Wer damit leben kann, der kann diesen Kühlschrank kaufen.
"
;380;19. Aug 14;Mario Zuber;;5;100% zufrieden;"Nach über zwei Jahren, zwei Umzügen sind wir immer noch mehr als zufrieden mit dem Gerät!
Platz ist ausreichend, die Einteilung super und besonders das Gemüse und Wurstfach sind genial - alles bleibt wirklich lange frisch...
Optisch auch in der jeder modernen Küche ein Highlight!"
